Title,Username,Tanggal,Review
" Interbollo..s
",SvetoslavGrigorov,16 November 2014,"Interstellar by Christopher NollanReviewed by Svetoslav GrigorovFirst, I had to look at the score on www.IMDb.com to confirm that all the rumors were true (9 out of 10): me and Paul were the only ones who didn't like this movie and left 45 minutes before it had finished. Whatever that means I can assure you that I was/am still sober and I am not a zombie like the rest of the crowd in the Kettering Odeon cinema. Secondly, I would like to ask how all these critics made the comparison(s) with Kubrick's 2001: A Space Odyssey and thirdly, please you who now read this review tell me that I am not the only one in my dullest disappointment for the year. Tell me that I haven't lost my marbles, tell me that you were enthralled from this copy of a House On The Prairie and if you think that this is the best movie of your life (or at least 2014), the only answer I can think of is: that's why so many rubbish movies have been released lately. Because the level of the quality has fallen drastically and the conveyor belt of the movie industry is catastrophic for the senses. OK, so straight to the point. First 45 minutes we are introduced to the farming, dust and the coming famine problems, nitrogen on the rise in the atmosphere, Earth is doomed, father and daughter found a super-secret location that NASA strategically placed for their eyes only. We see a lot of corn and even the nineties Children of The Corn was a better shallow slasher while this one turns out to be an American clichéd space marmalade, and my best fitting comparison for it is Armageddon which is not really a movie, but a joke. Wormholes, saving of the human kind, bringing resources, planting/replanting, Plan A /Plan B, frozen embryos to colonize a distant world, overcoming gravity, scientists and even a quantum physics and so much camera- philosophy that Kubrick will turn in his grave, daddy-please-don't-go-to-space-cause –I'm- gonna-cry, bam the watch on the floor (I don't wanna see you anymore), counting while going into the stratosphere, Lego-robot which somehow was better acting than the rest of the actors or at least was more fun. Wait, wait, did I say actors? Matthew McConaughey, Anne Hathaway and Michael Caine (The rest of them are not worth mentioning apart from the crying daughter Murph who did her best job).Matthew McConaughey has one of the most annoying twangs ever and his jaundiced bad- version-face of Paul Newman cannot contribute to any script lately (let's not forget that without the help of Jared Leto and his masterful transformation in The Dallas Buyers Club his Oscar was going to hell). His mumbling could be understood only from the villagers in Kentucky and what he is on aboutSeriously, I needed subtitles to comprehend his actor's efforts in such a ""serious"" movie. How serious this movie was! I pushed myself to read couple of the 'serious' critical reviews and they had the audacity to call it ""scientific""??? Oh man, poor Anne Hathaway who looked sometimes at the camera and was likely apologizing for the mess she was in. I felt sorry for her.The script was the hell of the hells. Such nonsense with no credibility and no creativity at all. Total zero or even below the zero. As I said we left long before the end because my time is precious. I will open Isaac Asimov's (or Stanislaw Lem's) short stories and will be engulfed in characters and situations, so my brain will be given food for thought while all these poor people are going to see Interbol..cks and will be exposed on the radiation of a mediocrity (yes, I felt cheated like someone was trying to insult me). Well, if you who now read this review respect yourself and really like Kubrick, Moon, Gravity (and even Contact) and other good sci-fi don't waste your time and save your money. Today we wasted £40 including the drinks, the popcorn and the tickets and the only thing that I was inspired for was my generated anger for this text. My verdict on the scale from 1 to 10 is to give ONE for the director Christopher Nolan who needs a little encouragement and I am hoping he will not slip into the shoes of M. Night Shyamalan who have crafted a lot of rubbish lately as you know. God forbid that never happens.P.S.Don't tell me that I have sat there for 2 (it's actually 169 minutes) hours of a film and it had a great ending cause I don't want know."
" It's one of those movies
",dagamingpeople,3 May 2015,"The ones that you still think of weeks even months later. The ones that make you think and leave you breathless. The ones that inspire you to want to change your life after a mere two and a half hours.I watched this movie the first time over a month and a half ago and it still crops up in my mind. The thought of space travel excites me along with countless others and this movie has literally made me rethink my life choices and pushed me into wanting to become an astronaut. As childish as it sounds, its true, because its one of those movies. Interstellar has become my new favourite movie by far.Bravo Nolan what a great human bean"
" That's not shinola you see thru that black hole, Grasshopper.
",sylvain-14,9 November 2014,
" A movie made for me
",petermail,11 November 2014,"The most amazing thing about this movie is its pioneering spirit. They look at night sky and see a map of foreign worlds that need to be visited. The movie presents lot of mysteries of the world in visually fascinating way. Those robots there are amazing as well, complete opposite of Marvin from Hitchhiker's Guide to the Galaxy. I love them. The emotional layer is as great as it gets. You may very well find yourself crying possibly more than once. Finally the imagination was mind blowing rolling around the edges of the things you are yet willing to accept as possible. It all feels very real like you are right there travelling across the Universe encountering strangest parts of physics."
" it is a cinema-goer's ultimate luck to have filmmakers like Nolan!
",lasttimeisaw,22 November 2014,"By no means I am a scientific geek, my days of tackling with science has been fortuitously truncated years ago, so putting aside all these heatedly discussed astrological concepts, to be specific, wormhole, black hole, tesseract, the fifth dimension and time travel relativity (thanks to the enormous contribution of Dr. Kip Thorne), INTERSTELLAR is a potent analogue of Nolan's previous stunning visual and conceptual extravaganza INCEPTION (2010, 9/10), which looks deep into the bizarre inner activity within one's dream realm, but this time, Nolan's scope is going the opposite direction, extended outwardly to the unknown universe and based on a more perceivable future of the earth's imminent doom (we are all the culprits of various degrees in this scenario), it is not just an awe-inspiring outer-space odyssey, in its dual storyline, the life on earth is phenomenally linked by human's primitive force - love. I didn't watch the film on an IMAX screen, which in Cairo is quite scarce, and Cairo is a big city, but I have no gripe to watch it on a normal 2D screen since it is fantastically overwhelming just the same. In the pre-space trip , ex-pilot-turned-farmer Cooper (McConaughey) is staying with his two children, Murph, short for Murphy (Foy) and Tom (Chalamet) with his father-in-law Donald (Lithgow), while their world is experiencing extreme weather catastrophe such as sand storms, the father-and-daughter bond between Cooper and Murph has been intensified through their similar attitude towards science and the supernatural episodes happened in Murph's room, where she claims there is a ""phantom"" using gravity to send her messages, which is such an ingenuous yet inconspicuous maneuver to foreshadows the mind-blowing twist in the black hole, and unthinkably it becomes the key to save all the humanity on earth. The emotional crunches are prepped with incredible performance, again, McConaughey is unbelievably trans-formative as the loving father who decide to reunite with Murph and keep his promises against all odds, his supreme reaction shots when reading messages for the past 23 years from Tom and Murph on earth are his Oscar-baiting moments, it seems the McConaussance has not been slowing down and one Oscar statue seems not enough at all. Mackenzie Foy plays the young Murph, Chastain is her adult version and Burstyn gives the final happy ending as the senior one. Chastain is a relentless fireball, formidably interprets the most arcane part (the telepathic revelation of who is the phantom?) which sometimes even challenges its own credibility, it is not a showy role for Chastain's caliber, nevertheless she is excellent in it, take one example, the minute facial nuances when Prof. Brand (Michael Caine) telling her the disturbing truth in his deathbed are handled with almost undetectable forbearance yet viewers can maximally sense the repercussions since it shakes all her belief in one second. Foy is equally brilliant as the young Murph, she sets a solidified base with Cooper, which sustains the mainstay of the film's critical emotional core and guides us through the transcendent experiences with Cooper, and a new child star is officially born. Hathaway's Brand, although second billed, surprisingly doesn't have too much to offer as the co-pilot, sometimes even becomes a corny nuisance (poor Wes Bentley!), there is another type of father-daughter undercurrent (she and Caine) which the film largely dodges. During Cooper's expedition to find suitable planet for earthlings, there is the punned ""Murphy's Law"" effect subsequently occurs, Matt Damon's classified cameo is well-kept from the trailer and his appearance further cements his recent string of involvement with Sci-Fi genre (after THE ADJUSTMENT BUREAU 2011, 6/10, ELYSIUM, 2013, 7/10 and Terry Gilliam's THE ZERO THEOREM 2013, next year he will be in Ridley Scott's THE MARTIAN with Chastain), his Dr. Mann is the revered pioneer in the project, however it is through him, Nolan builds the only real villain (arguably Caine the big fat liar is condemnable as well), who succumbs to human frailties under the extreme condition, his motive is understandable, any of us could make the same move under his condition, that's why the film is so precious, one has to overcome all the innate barriers to achieve something extraordinary, say without this commitment with Murph, without the uninhibited love for her daughter (poor Tom, his father never even mention him at all), maybe Plan B is the future for human race, and the cruelty is freshly in our face. After GRAVITY (2013, 9/10), we reach a new monumental peak for the cosmic cinematography, pairing with a new DP Hoyte Van Hoytema (from HER 2013, 8/10; TINKER TAILER SOLIDER SPY 2011, 6/10, THE FIGHTER 2010, 8/10 and LET THE RIGHT ONE IN 2008, 9/10), Nolan's galactic wonders are sufficiently groundbreaking, the three planets they visit bear simplistic topography grafted with inconceivable excesses, and the final homeland, the distorted proportion, all evokes the striking variations in INCEPTION. And if Alfonso Cuarón can win BEST DIRECTOR for GRAVITY, Nolan is much more deserving, I am firmly standing behind Nolan's back this, it is a cinema-goer's ultimate luck to have filmmakers like Nolan dares to make these ""impossible and grand venture"" to enlighten our imagination and edify our own consciousness as a human being in this imperfect world, with the prowess of love we all possess, however small we are individually, there is hope always beckoning, eternally."
" One of the best fantasy dramas ever made.
",paulclaassen,15 December 2021,
" Awful Film
",TheTruthDoor,8 November 2014,"The good reviews of Interstellar on IMDb are proof to me that movie studios pay people to post positive reviews of movies. The current IMDb rating is 9.1......no way in hell is that an accurate rating.This movie is awful...period. How could any professional actor read the script for this movie and not be able to tell that it will be a terrible movie?I really would like to say something positive about the film since it has many of my favorite actors in it. The actor list reads like a ""who's who"" of movie stars. But I cannot think of one single positive thing to say about it.Trust me, don't waste 3-hours of your life on this film. You will regret it, just like I do."
" Slow burn space epic
",mikecrean-97804,22 May 2020,"Not Nolan's greatest work, Interstellar is a slow burn mind bender but it keeps you in the game until the end, and features stunning visuals and a great cast. Recommend to Nolan fans."
" a rare 10 out of 10 for me
",facebook-999-887838,8 November 2014,"What an incredible film, a mesmerizing ride from minute 1 to minute 169. I couldn't believe when it ended that it was already finished; time appeared to go away quickly when watching this in the theater and remember when it ended, I wished there was more of this epic movie.Great directing, great performances, the effects/sets could have been better (I like my detail which unfortunately some scenes/effects lacked) and you got to take a big leap of faith to ignore the obvious paradox. If you do the latter, you will enjoy a Nolan's masterpiece.One of my top ten movies of all time and most likely the best sci-fi I have ever watched."
" A Over-hyped Imperfect Movie...
",dplowsav,9 November 2014,"Interstellar is not a bad film. Lets get that out of the way... Nor is it a great film either.It straddles the fence of imperfection ever so well. There are some great moments and then there are some very long drawn out moments that make you shout at the screen and say, ""Shut up already and get on with it!"" Once such scene came when Anne Hathaway was talking about love... a lot. Yes, there was a lot of talk about love and analyzing what love means. That moment sucked me out of the film, because I found it hard to be dragged into the immersive experience that Interstellar should be, when it is coupled up with such bad writing that doesn't blend in a scene well.Such out of context reality smashing moments happen a lot in Interstellar that makes you wonder if the writers were tripping out on their own interstellar experience. Another scene comes at the revealing of a betrayal, of sorts, from a certain character. Without going into too much, all I'll say is that the scene felt hammy, rushed and again, didn't blend in what was going on. While I 'get it', as in the reasons for the betrayal, I didn't 'get it' in terms of why it had to happen, and it just felt... strange.By the time the film matures in the middle, it goes downhill and your left on a spiraling out of control adventure that is the result of some new age writing gone bad.If that wasn't bad enough, I had to put up with the endless scenes of key dialogue that I could hardly hear, because Nolan likes to blare his music up over important dialogue. Maybe it was just the Cinema sound system being extra enthusiastic, or maybe once again, a criticism that I've aimed at Nolan before, is that he really needs to edit his movies better and get an editor that doesn't make it hard for the viewer to hear what's being said. It is blatantly criminal in the sheer bad editing that this film suffers from.The film does have its good moments, although I would have to call them rare, but again the visual effects are splendid and is possibly the only reason why this film is a 6 for me, and not a 5 or lower. There literally some scenes in the film that made me go 'wow...' and look on with delight. It's for these scenes that you need to go and watch Interstellar, but be warned, that the rest of the film performs below its expectation.Major Gripe: Time for a major gripe, and I thought it would be the editing of the film, but no. It comes down to design. Now, I've read that there are those that liked the robots, TARS, and CASE. That's fine, and I'll admit the design is unusual and somewhat funky. Yet the positive reviewers probably don't or won't, look at the faults in design. Well I saw the fault in the design all too clear; In one particular scene, just after getting out of the shuttle after landing on a new planet, TARS is scene 'walking' for want of a better word, onto the planet. Yet I caught that moment when it awkwardly tried to maintain its balance. What was it doing with its left leg? I wondered to myself... And ever since I saw that strange fault, I couldn't let it go. The more I looked at its wobbly movements and its rather awkward looking design and its very human personality with its very human non-robotic voice, I just couldn't get into it that this was a robot. I kept on imagining a guy in a suit... and that's the problem.When you design a robot for a film, you need to get it across to the audiences that this is a robot. Not some strange puppet on a string or anything else, but a robot. Sadly Nolan failed in getting this across because of the voice being used, because of the very human personality and because of the rather awkward looking way it just went about. There was nothing about the robot that I honestly liked, it just didn't feel like one, and at no time in the film is it explained where the tech came from, impressive tech at that, yet it just didn't translate well onto the screen.Interstellar is a decent film. Is it worth the prestigious rating of 9.0 that most reviewers give it? I personally don't think so, and I think in a lot of cases such positive reviews come from the reviewer being dazzled with special effects and in a lot of cases that is the case. It happened with Gravity; people were so amazed at the effects they just threw 9's at it all day. Interstellar is not about any of that, it's about the story, and sadly, it lacks a decent one."
" What A Movie...
",jack_o_hasanov_imdb,20 August 2021,"When I watched it for the first time, I watched it with my mouth open.Yes, the ending didn't fully satisfy me. Hans Zimmer you are a god of music."
" My Benchmark
",doncorejp,28 May 2021,"3 of my best ever! And favorite film experiences in theaters in my life! Have been tickets to Inception, Interstellar, and most recently Tenet. But Interstellar hit me on such a deep level emotionally that I have not experienced before this film. Nolan has inspired me as a storyteller on exponential levels and I thank him deeply."
" Could have been better
",holloway-sarahjane,9 November 2014,"Special effects are the real winner in this movie, not the plot, not the acting. Most of the story makes little sense and the characters are annoying, except for the ever charming Michael Caine. The plausibility factor was as poor as some 1950's sci-fi and less fun. Back to the Future was and is more interesting. I would have to say it was not a boring movie, but too much talking and teen angst out of adult scientists. Ann Hathaway has no place playing anyone with a PhD. The ""Dust Bowl"" effect was not terribly convincing, they could have made it seem a lot grimmer. There were too many ""that wouldn't happen"" moments for me, I couldn't suspend reality because they would keep mixing facts in and then do stuff that was pointless and unrealistic. The noise of the background was so loud often I couldn't understand the dialog, low bass organ music and rocket engine noise so loud my chair vibrated. The characters were doing things that didn't add to the story and just seemed immature, you almost couldn't root for the human race to survive."
" Can I give this an 11?
",er-guille,15 January 2023,"I have never been more awed by a movie than by Interstellar. The cast, the acting, the script, the direction, the photography, the music; what a glorious soundtrack, the script, the themes it shows. Nature vs man. Man vs man. And at the end, we realize that we as a species are responsible for our own survival. We have to work hard for our existence. We have to sacrifice everything for the greater good. Nobody is coming to save us. We have to save ourselves. We are our god. We created us and we will save us.Very deep and very extraordinary movie. It is not enough to watch it only once. A must see."
" A Film Feigning Importance
",Cinnyaste,10 November 2014,"Somewhere on the path to juxtaposing the story of the imminent death by starvation of humanity on Earth against a desperate search for a new planetary home (hopefully to not similarly despoil), the authors of ""Interstellar"" forgot to consider the audience and instead created a far too long, far too arcane and far too pet film. ""Interstellar"" is a kissin' cousin to the equally pet, pseudo mind-blowing, con man sleight-of-hand ""Inception.""A bitter taste is left in the mouth by a self-satisfied script constantly trumpeting a specialness that, alas, is not at all special.Audiences have been beat to death by the tropes, plot elements and dialogue seen so many times before. For example, the ""Pursued By Demons Retired ______ Forced Back Into Service"" trope.Women, as in most films, are relegated to the back of the bus. When will writers and filmmakers wake up to the richness in woman's hearts and minds - even a cold scientist's ticker and noggin?Face-down-death awaits the character with the fewest lines and closeup. (Much like the Bic 'Red Shirts' in ""Star Trek"" you knew would never make it to the end credits.)An intelligent young woman becomes hysterical because Daddy's leaving, yet her intellect does not grasp his mission is important: To save her and the rest of the world. Beside, Daddy didn't explain, at least not on camera.Matt Damon resurrects from hypersleep to wreak havoc as in the hackneyed ""Don't Astronauts on ""The Twilight Zone"" Pass Basic Psych Tests?"" plot element.Don't forget the Dead Wife and Wise Grandpa tropes.Wonder is non-existent. That's quite a feat as few films have led us through a wormhole. ""Black Hole"" did a better job. At least the mysterious passage in Disney's opus didn't suggest injection into a globule borrowed from the coda of ""2001: A Space Odyssey."" (Also cobbed from Kubrick's masterpiece are the more human than humans (articulated) computers.)Cinematic corn served warm with a schmear of butter is quite delicious. Corn served cold by trying-too-hard actors sittin' on the porch waxin' philosophical is a dish best passed to the person sitting on your right.There are nonsensical interviews of dust storm survivors who describe what the special effects department has just shown. There's no lack of understanding why the run time is 169 minutes. The dogged determination to not self-edit and lose script pages underscores either Nolan's lack of being a good audience or not caring about audiences - the latter a quality indicative of too many contemporary filmmakers.The ending leads to head scratching that, in another film, would elicit laughs from the audience. Poltergeists my patootie!""Interstellar"" veers uncomfortably close to complete train wreck, but there are a few nice touches. While derivative, the articulated computers are cool. That mankind can solve mankind's problems without an advanced alien intelligence, God or other deus ex machina is the one original idea - and it's a good one.Save very few elements to recommend it, ""Interstellar"" is a really, really long bore pretending importance. There's nothing worse than films of that ilk."
" Stellar, Indeed!
",namashi_1,8 November 2014,"Christopher Nolan's much awaited 'Interstellar' is Stellar, Indeed! Nolan takes us to space & beyond, delivering a film that's both, astounding & futuristic. Made unfathomable ambition & force, this Sci-Fi/Family-Drama, deserves a watch for the experience it gives you as a viewer & also a human being.'Interstellar' Synopsis: A group of explorers make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.'Interstellar' raises questions on the future & on what maybe the fate of mankind after all. Jonathan & Chris Nolan's Screenplay fills in all the scientific punches to lead it in, that eventually, is more a tale of a father & his daughter. 'Interstellar' proudly captures the strong bond of family-bond, that we all experience & relate too in our lives. The portions back home on earth are wonderfully executed. The Sci-Fit bit, however, is stunning & equally captivating. The twist & turns in the narrative, featuring a surprise cameo Matt Damon, only keep you guessing on what's gonna happen next. Its purely edge-of-the-seat rush.Chris Nolan's Direction is gargantuan, just like the film's scale. Nolan handles this important story with care & style. Each & Every Visual has been filmed amazingly by Cinematographer Hoyte van Hoytema. You can't look away from the Screen for a single moment! Lee Smith's Editing is pretty crisp, despite the film's mammoth length, which goes on for more than 168-minutes. Hans Zimmer's Score is exhilarating. Visual Effects are Oscar-Worthy. Performance-Wise: Matthew McConaughey as Cooper, delivers a heartfelt performance. The Oscar-Winning Actor is the soul of this epically structured film. Anne Hathaway as Amelia, is perfect in her portrayal. Jessica Chastain as Murphy, Cooper's long suffering daughter, is splendid. Her emotional breakdowns tear you apart. Wes Bentley as Doyle, is effective. Casey Affleck as Tom, is nicely restrained. John Lithgow as Donald, is subtly funny. Michael Caine as Professor Brand, is dignified, as ever. On the whole, 'Interstellar' is not merely a film, its an Experience. Heavily Recommended!"
" A classic movie
",nataliaberugno,4 July 2022,I am a firm believer that Time Travel is real. I may not be able to explain it with eloquence but I know that stories like this are based off of some random authentic account.
" Not The Film I Expected By A Long Shot
",james1844,8 November 2014,"The problem is... Stellar is so complex and confusing you are at the mercy of tying together so many scientific issues you get bogged down in the constant slow dialog and the dragging delivery of the twists and turns of what has got to be the most complex multi-plotted movie I've seen in years. I sensed ""overkill"" of some scenes that seemed constantly drawn out that if I had a remote I would have fast forwarded through many parts. I am a big Sci-Fi movie lover and as such I will bring huge praise to the writers and producers of well made movies of this kind. Before going to see this much anticipated film that was given spectacular and high praise from several cites such as IMDb, I was dumbfounded by what appeared to be a movie almost impossible to find fault with in those reviews. Whats more this film was much too long (2 hrs 55 minutes) including previews of trailers. No human bladder should be put to such an ungodly test. Lastly I want to again point out that many reviews are suspect in this world of questionable truths of opinion."
" You either love it or hate it.
",turneredgar,2 February 2021,"This is the first film with several flaws that I still rate a 10. Strictly scientifically speaking, it bends or breaks several laws of physics. So if you are a stickler for scientific accuracy, this ain't your movie. But, if you can look past the physics, you are in for a magical adventure. Otherwise get you some Jane Austen and call it a day."
" Thought-provoking adventure,
",redcrystal,5 November 2014,
" Possibly the best Sci-fi story ever told, in my consideration, the best sci-fi movie ever, which i've watched countless times!
",marveller-66,1 June 2021,"The title pretty much covers it all up. Christopher Nolan's absolution, a living legend in filmmaking. Watched the movie about a couple of years ago...no about 3 years ago, if i recall precisely. It's not just the fact that it has an amazing set-up/world-building, story-telling and an unbelievable story, this movie really hits deep in the human hearts. I envy those who've experienced this masterpiece at the Cinemas back in 2014. Heck i even got so obsessed with Black Holes that i learned so much about 'em.Detailed score:
(Story-99) (Direction-97) (Soundtrack & score-100)
(Performances-94) (Cinematography-96)
(Visuals-98) (Total score : 9.8/10)In summary, possibly the best Science-fiction movie in the history of Cinema, imo."
" 2014 Interstellar Odyssey
",ivanmessimilos,9 November 2014,
" ""Interstellar"" is everything you can expect from a motion picture and beyond
",851222,9 November 2014,"Greetings from Lithuania.""Interstellar"" to simply put, is a magnificent motion picture. It is a close call masterpiece (surely a classic). The whole hype wasn't just a hype, it's true, and you have to witness it on the big screen to truly appreciate it. It has everything a true sci- fi movie should have and everything that a truly great motion picture must have. Everything here works on the highest level. The music (without doubts, a locked Oscar nomination), sound / sound effects (two possible Oscar winners), acting, directing, script special effects (a sure nominee) are a top notch, and combined with realistic sci-fi ideas, this movie is must see. It has to go down as one of (if not THE) very best science fiction movies off all times.Overall, ""Interstellar"" is as good as movies goes. It has everything to held you glued to the screen for almost 3 hours, but trust me, watching ""Interstellar"" you will be delivered to a movie magic without a wormhole help."
" Astronomy and physics good – Terrible storyline – full of the black holes!
",mnoble1-2,21 January 2015,"Science Fiction is not an excuse for lazy writing and sloppy direction.Starts off showing flowing fields of thriving green vegetation – constantly bombarded by massive dust storms and yet continues to grow and thrive. Then, we are supposed to believe that a drone – one that can fit in the back of a pickup truck has enough solar cells to power 'an entire farm.'After that, Jonathan Nolan and Christopher Nolan (Screenplay) expect us to believe that a retired NASA pilot, who never left Earth orbit and survived crashing his orbital spacecraft, is more experienced to go on an interstellar voyage than the astronauts that have studied and prepared for the voyage. Okay, I'll admit this one is possible, but not likely.The first planet they decide to visit – the one so close to a black hole it has significant time dilation – the one covered in water and deluged with huge waves every hour, (one of which destroyed the original exploration spacecraft and killed the pilot – not detected by the spacecraft instruments, by the way) is a prime candidate for colonization.Then, when the next huge wave arrives, Christopher Nolan (Director) makes us watch as one of the astronauts stands by the spacecraft door for several seconds (plenty of time to get in the spacecraft) watching the wave approach and is washed away. Why did he stand around waiting outside the spacecraft in the first place! Nonsensical!The next thing the Nolan brothers expect us to believe is that an astronaut who volunteered for what was probably a one-way mission suddenly goes crazy, becomes a coward, falsifies data, and turns into a murderer! Were his rescuers going to leave him on the planet to die after they found out the planet was uninhabitable! Don't think so!Later, this same coward astronaut decides to take a chance and risk his life opening the spacecraft hatch after warnings that doing so would cause a blowout. I guess we supposed to believe he is that crazy!"
" Marvelous , breathtaking and super stellar
",subhroy,19 August 2020,"Quite easily the best movie I have seen in my life . As a student of science, I couldn't have appreciated it more."
" Brainy, Ballsy, and Beautiful to Behold
",DareDevilKid,16 November 2014,"Reviewed by: Dare Devil Kid (DDK)Rating: 5/5 starsChristopher Nolan has reached deep into the stars to tell a story about mankind's demise and refusal to go quietly into the night. Here is a director whose name has, quite literally, become synonymous with realism. The Nolanisation of cinema, which made the gloomy streets of Gotham a bridge between the fantastical and the commonplace, now grounds countless fancies within the mud of our reality. With ""Interstellar"", Nolan inverts expectation once again, with a film rooted in the regularity of mathematics homework but spliced with the fantastic. The film charts a course in the latest theories in quantum physics and other space-related sciences to tell a story that engages and entertains viewers. It also goes to exacting lengths to meticulously depict the theory of relativity — vetted by executive producer and renowned astrophysicist, Kip Thorne.Opening, on a dusty model of the shuttle Atlantis, the film's near- future setting sees humanity starving and devoid of hope. Eking out an existence in a post-millennial Dust Bowl, Matthew McConaughey's Cooper and his two children lead a life of agrarian survivalism. But in Cooper we find a new man cut from old cloth - an all-American hero. Played with a drawling, Texan swagger underpinned by startling emotional depth, he is Nolan's most traditional lead to date, embodying the wide-eyed wonder of the Director's youth; a man for whom we are ""explorers and pioneers, not caretakers"", who casts his lot among the stars as the human race's last, best hope.With the ailing Blue Planet left behind, Interstellar shifts smoothly into second gear. According to ""Interstellar's"" on-board astrophysicist, Kip Thorne, the spherical wormhole (it's three- dimensional, obviously) and the spinning event horizon of the film's black hole (named Gargantua) are mathematically modeled and true to life. Sitting before a 100-foot screen, though, you won't give a toss about equations because Nolan's starscape is the most mesmerizing visual of the year. Gargantua is as captivating as it is terrible: an undulating maelstrom of darkness and light; this is space imagined with a dizzying immensity.Nolan grounds his epic tale through the relationship between humans. There is a scene in the movie that shifts from deep space back to Earth, from a father (McConaughey) who hasn't aged much physically to a daughter(Chastain) all grown up. The difference captured in this moment was everything Cooper feared about leaving his heartland farm, son and daughter, for a last-gasp mission to find an inhabitable planet for Earth's population.Thankfully, Nolan's helped no end by his lead, the charismatic McConaughey cementing his A-list comeback with a powerful performance that helps ground the grand proceedings and provides the film with its emotional core. Among all the space phenomena and alien terrains, it's his quieter moments that provides the film's small-scale highlights. It's also his back-and-forth banter with TARS – a former military droid with a fiercely caustic artificial intelligence (voiced by comedian Bill Irwin) – that lends the film some much needed humor amidst the solemnity of the mission at hand. Meanwhile, Nolan newbie, Chastain, and regular collaborator, Caine, provide solid Earthbound support with only fairly limited screen- time, and Hathaway adds a refreshingly down-to-earth presence to the outer-space adventure.For Nolan faithfuls, all his signature notes are also present: Michael Caine imparts wisdom in front of a blackboard, the story skips through time without a fade to black, Hans Zimmer provides a haunting score, and multiple action sequences are cut together in a frenetic crescendo. If there's one area that Nolan is visibly more comfortable with, it's tense, super-sized set pieces – and he more than delivers here. From a race against a giant, skyscraper-sized wave to some frosty fisticuffs atop a herculean glacier (meticulously shot to frame the combatants as tiny ants compared to the enormity of the icy mass they're traversing), ""Interstellar"" contains its fair share of heart-in-mouth moments.The production design is more ""Alien"" than ""Star Trek"", with a grimy, functional spacecraft reaching murky, yet beautifully conceived new worlds. New cinematographer, Hoyte van Hoytemer, more than ably replaces Nolan's regular DOP, Wally Pfister. The plot may be higher-than-high concept, but Nolan keeps the world of ""Interstellar"" admirably and charmingly low-key. Location shoots in Iceland lend a stunning natural edge to the film's alien landscapes, while the film's tech – taking cues from films like ""2001: A Space Odyssey"" and ""Alien"" – has a tangible, old-school quality to it, from the embryonic, sous-vide-style hyper-sleep chambers to McConaughey's clunky, faceless robot sidekick TARS. Even in the depths of new galaxies, characters still write out their trajectories on white boards and explain scientific theories using pen and paper. Ditto the movie itself, shot on film in good old- fashioned 2D. It's to Nolan and his visual effects team's credit, though, that he's still able to push boundaries despite this traditional approach: ""Interstellar"" contains without doubt some of the most inventive, immersive, and abstract outer-space visuals ever put up on the big screen.""Interstellar"" poses all the right questions and provides some highly cerebral answers to most of them, while leaving the others rightfully unanswered. This is Nolan at his highest-functioning but also his least accessible; a film that eschews conflict for exploration, action for meditation and reflection. For the first time, Nolan opens his heart as well as his mind. Never hitherto a comfortably emotional filmmaker, here he demonstrates a depth of feeling not present in his earlier work. ""Interstellar"" is a wish to re-instill the wonder of the heavens in a generation for whom the only space is cyber. Anchored in the bottomless depths of paternal love, it's a story about feeling as much as thinking.As a light-year-spanning quest to save the human race, this is the director's broadest canvas by far, but also his most intimate. And against the alien backdrop of black holes, wormholes, and strange new worlds, ""Interstellar"" stands as Nolan's most human film to date."
" A potentially great film but.....
",g-hbe,27 May 2018,"...ruined by almost indecipherable speech, especially on the part of Cooper. We chose this film as it had received good reviews and we like a good science fiction film, but within the first ten minutes we knew we were in for a 'what did he say' -fest. The actor playing Cooper had such mumbled, lazy diction and spoke in a semi whisper it was almost impossible to understand anything he said. About an hour in we almost decided to give up and watch an old 60's Doris Day & Rock Hudson comedy instead - at least you can hear every word clear as a bell. But we struggled through all 2.5 hours of it and came out the other end none the wiser.
Do they go somewhere to learn how to mangle their speech? Or maybe they have their jaws wired?"
" Very good but a bit overrated
",jmartinvos,2 July 2021,"Pro's:
Actually no sound in space finally, very well done.Atmosphere of the desolate and loneliness have been captured perfectly.Big fan of the soundtracks
Overall good acting, only the protagonist didn't fit too well for me
Nice idea and story.Con's:
Predictability. The ghost and the meeting at the end with a very old murphy were both pretty obvious to come 2/3 into the movie.Also how the heck did the dad get out of the black hole."
